,Energie,Annee,Kilometrage,PuissanceFiscale,BoiteVitesse,Prix,Marque,Modele
274,Essence,2009.0,230557 KM,,Boîte 5,35 000 DT,,
275,Essence,2018.0,52200 KM,4 CV,Boîte 5,34 000 DT,KIA,PICANTO
276,Essence,2019.0,78000 KM,5 CV,Boîte 5,34 500 DT,PEUGEOT,301
277,Essence,2020.0,64000 KM,5 CV,Boîte 5,34 000 DT,PEUGEOT,
278,Essence,2016.0,164000 KM,5 CV,Boîte 5,36 000 DT,KIA,RIO
279,Essence,2015.0,223000 KM,7 CV,Boîte 5,36 000 DT,KIA,RIO
280,Essence,2015.0,200000 KM,5 CV,Boîte 5,35 000 DT,PEUGEOT,2008
281,Essence,2020.0,64000 KM,5 CV,Boîte 5,34 000 DT,PEUGEOT,208
282,Essence,2014.0,237000 KM,07 CV,Boîte 5,35 000 DT,FORD,FOCUS
283,Essence,2021.0,26000 KM,4 CV,Boîte 5,33 800 DT,,
284,Essence,2019.0,79000 KM,5 CV,Boîte 5,35 500 DT,HYUNDAI,I10
285,Essence,2018.0,151 KM,5 CV,Boîte 5,34 000 DT,,
286,Essence,2012.0,104000 KM,5 CV,Boîte 5,35 000 DT,KIA,RIO
287,Essence,2011.0,127.000 KM,7 CV,Boîte 6,35 000 DT,,
288,Essence,2019.0,80000 KM,5 CV,Boîte 5,34 500 DT,PEUGEOT,301
289,Essence,2016.0,122000 KM,5 CV,Automatique,34 000 DT,HYUNDAI,I10
290,Essence,2012.0,247000 KM,15 CV,Automatique,34 000 DT,MAZDA,CX7
291,Essence,2020.0,84500 KM,05 CV,Boîte 5,34 500 DT,,
292,Essence,2015.0,162000 KM,5 CV,Boîte 5,34 000 DT,KIA,RIO
293,Essence,2014.0,156000 KM,5 CV,Boîte 5,34 000 DT,TOYOTA,YARIS
294,Essence,2020.0,87000 KM,4 CV,Boîte 5,35 000 DT,,
295,Essence,2018.0,56000 KM,5 CV,Boîte 5,34 500 DT,NISSAN,MICRA
296,Diesel,2020.0,108000 KM,6 CV,Boîte 5,34 500 DT,DACIA,DOKKER
297,Essence,2011.0,232000 KM,9 CV,Automatique,35 500 DT,,
298,Essence,2020.0,70000 KM,5 CV,Boîte 5,35 700 DT,SUZUKI,DZIRE
299,Essence,2015.0,84000 KM,5 CV,Boîte 5,34 000 DT,CITROEN,
300,Essence,2011.0,143000 KM,9 CV,Automatique,37 000 DT,NISSAN,QASHQAI
301,Essence,2011.0,147000 KM,9 CV,Automatique,38 000 DT,NISSAN,QASHQAI
302,Diesel,2011.0,111149 KM,4 CV,Boîte 5,38 000 DT,CITROEN,C3
303,Essence,2017.0,59000 KM,4 CV,Boîte 5,38 000 DT,,
304,Essence,2012.0,217000 KM,7 CV,Boîte 6,38 000 DT,AUDI,A4
305,Essence,2017.0,105000 KM,5 CV,Boîte 5,36 000 DT,PEUGEOT,208
306,Essence,2015.0,133000 KM,5 CV,Boîte 5,38 000 DT,KIA,RIO
307,Essence,2018.0,123000 KM,5 CV CV,Boîte 5,37 900 DT,CITROEN,C3
308,Essence,2018.0,69000 KM,4 CV,Boîte 5,36 000 DT,,
309,Essence,,172000 KM,,Automatique,37 000 DT,,
310,Essence,2020.0,25000 KM,5 CV,Automatique,36 000 DT,,
311,Essence,2019.0,115000 KM,5 CV,Boîte 5,36 000 DT,CHEVROLET,SONIC
312,Essence,2018.0,110000 KM,5 CV,Boîte 5,37 000 DT,VOLKSWAGEN,POLO
313,Diesel,2012.0,270000 KM,7 CV,Boîte 5,37 500 DT,SSANGYONG,ACTYON
314,Essence,2015.0,187 KM,6 CV,Boîte 5,37 000 DT,MAZDA,3 HATCHBACK
315,Essence,2018.0,128000 KM,7 CV,Boîte 5,37 000 DT,CHEVROLET,CRUZE
316,Essence,2015.0,155 KM,6 CV,Boîte 5,36 000 DT,,
317,Essence,2016.0,68000 KM,7 CV,Boîte 5,36 500 DT,BAIC,KENBO S2
318,Essence,2019.0,68000 KM,6h CV,Boîte 5,37 000 DT,DONGFENG,S50
319,Essence,2018.0,96000 KM,5 CV,Boîte 5,38 000 DT,CITROEN,C3
320,Essence,2015.0,142000 KM,6 CV,Boîte 5,36 000 DT,CITROEN,C4
321,Essence,2020.0,78500 KM,5 CV,Automatique,37 500 DT,,
322,Essence,2020.0,69500 KM,04 CV,Boîte 5,37 400 DT,KIA,PICANTO
323,Diesel,2005.0,400 KM,12 CV,Boîte 5,37 000 DT,,
324,Essence,,120000 KM,5 CV,Boîte 5,36 000 DT,HYUNDAI,I10
325,Essence,2016.0,198000 KM,6 CV,Boîte 6,37 500 DT,FORD,FOCUS
326,Essence,2010.0,238000 KM,6 CV,Boîte 5,38 000 DT,AUDI,A3
327,Essence,2017.0,49200 KM,6 CV,Boîte 5,36 000 DT,,
328,Essence,2018.0,40000 KM,4 CV,Boîte 5,37 500 DT,CITROEN,C3
329,Essence,2009.0,200000 KM,11 CV,Automatique,37 500 DT,FORD,MONDEO
330,Essence,2009.0,237000 KM,7 CV,,40 000 DT,,
331,Essence,2017.0,59601 KM,5 CV,,38 000 DT,CITROEN,C3
332,Essence,2016.0,230000 KM,5 CV,Boîte 5,40 000 DT,KIA,RIO
333,Essence,2021.0,"126, KM",5 CV,Boîte 5,40 000 DT,HYUNDAI,I10
334,Essence,2019.0,79400 KM,4 CV,Boîte 5,38 900 DT,CITROEN,C3
335,Essence,2017.0,70000 KM,7 CV,Boîte 5,39 000 DT,BAIC,
336,Essence,2018.0,145000 KM,6 CV,Boîte 5,39 000 DT,GREAT WALL,M4
337,Essence,2018.0,1600000 KM,4 CV,Boîte 5,40 000 DT,SEAT,IBIZA
338,Essence,2020.0,75500 KM,05 CV,Boîte 5,38 500 DT,POLO,
339,Essence,2010.0,168000 KM,20 CV,Automatique,39 500 DT,MAZDA,CX-9
340,Essence,2012.0,184500 KM,5 CV,Boîte 6,39 500 DT,GOLF,6
341,Essence,2017.0,80.000 KM,7 CV,Boîte 5,40 000 DT,BAIC,KENBO S2
342,Essence,2017.0,65000 KM,5 CV,Boîte 5,41 500 DT,RENAULT,CLIO 4
343,Essence,2014.0,230000 KM,7 CV,Automatique,39 200 DT,PEUGEOT,508
344,Essence,2020.0,45000 KM,4 CV,Boîte 5,38 500 DT,CITROEN,C3
345,Essence,2018.0,128000 KM,6 CV,Boîte 6,40 000 DT,FORD,FOCUS
346,Essence,2021.0,74000 KM,4 CV,Automatique,38 800 DT,SUZUKI,CELERIO
347,Diesel,2008.0,230000 KM,8 CV,Boîte 6,39 000 DT,,
348,Essence,,28000 KM,5v CV,,39 000 DT,MAHINDRA,KUV 100
349,Diesel,2009.0,207000 KM,6 CV,Boîte 5,38 500 DT,GOLF,6
350,Diesel,2005.0,237000 KM,11 CV,Automatique,39 000 DT,BMW,E60
351,Essence,2019.0,101660 KM,5 CV,Automatique,40 000 DT,SUZUKI,SWIFT
352,Diesel,2004.0,285000 KM,9 CV,Automatique,38 000 DT,MERCEDES,
353,Essence,2010.0,160000 KM,8 CV,Boîte 6,38 500 DT,AUDI,A4
354,Essence,2007.0,300000 KM,190 CV,Automatique,40 000 DT,,
355,Essence,2016.0,52000 KM,,,40 000 DT,POLO,
356,Essence,2003.0,138000 KM,11V CV,Boîte 6,40 000 DT,,
357,Essence,2015.0,159000 KM,5 CV,Boîte 5,42 000 DT,PEUGEOT,2008
358,Essence,,153000 KM,5 CV,Boîte 5,38 500 DT,PEUGEOT,2008
359,Essence,2018.0,140000 KM,4 CV,Boîte 5,39 000 DT,SEAT,IBIZA
360,Essence,2014.0,231000 KM,5 CV,Boîte 6,44 000 DT,SEAT,LEON
361,Essence,2016.0,100 KM,5 CV,Boîte 6,42 000 DT,,
362,Essence,2019.0,30000 KM,4 CV,Boîte 5,42 500 DT,,
363,Essence,2015.0,200000 KM,5 CV,Boîte 6,45 000 DT,,
364,Diesel,2014.0,192000 KM,6 CV,Automatique,45 000 DT,,
365,Diesel,2012.0,400000 KM,5 CV,Boîte 6,45 000 DT,DACIA,DUSTER
366,Essence,2015.0,263000 KM,5 CV,Boîte 5,42 000 DT,,
367,Essence,2021.0,40000 KM,5 CV,Boîte 5,45 800 DT,,
368,Essence,2021.0,38000 KM,5 CV,Boîte 5,42 000 DT,CHEVROLET,SONIC
369,Essence,2014.0,200000 KM,07 CV,Automatique,45 000 DT,AUDI,A4
370,Essence,2021.0,19000 KM,5 CV,Boîte 5,45 000 DT,,
371,Essence,2016.0,163000 KM,6 CV,Boîte 5,45 000 DT,,
372,Essence,2016.0,125000 KM,5 CV,Boîte 5,45 000 DT,,
373,Diesel,2007.0,230000. KM,,,43 000 DT,NISSAN,NAVARA
374,Essence,2016.0,160000 KM,5v CV,,42 000 DT,TOYOTA,YARIS
375,Essence,2018.0,95000 KM,7 CV,,43 000 DT,CHEVROLET,CRUZE
376,Essence,2013.0,220000 KM,5 CV,Boîte 5,45 000 DT,,
377,Diesel,2012.0,222 KM,5v CV,Boîte 6,46 500 DT,,
378,Essence,2017.0,140000 KM,8 CV,Automatique,42 000 DT,SKODA,OCTAVIA
379,Essence,2014.0,181000 KM,7 CV,Boîte 5,43 000 DT,,
380,Essence,2021.0,38000 KM,5 CV,Boîte 5,42 000 DT,CHEVROLET,SONIC
381,Diesel,2007.0,280 KM,,,45 000 DT,NISSAN,NAVARA
382,Diesel,2009.0,287.000 KM,12 CV,Automatique,43 000 DT,VOLVO,XC90
383,Essence,2015.0,170000 KM,7 CV,Boîte 6,45 000 DT,,
384,Diesel,2017.0,43000 KM,7V CV,Boîte 6,43 000 DT,CITROEN,JUMPER
385,Essence,2022.0,29000 KM,5 CV,Automatique,43 000 DT,TOYOTA,AGYA
386,Diesel,2009.0,281653km KM,6 CV,Boîte 6,45 000 DT,PEUGEOT,
387,Essence,2015.0,264000 KM,5 CV,Boîte 5,42 000 DT,SEAT,LEON
388,Diesel,2015.0,220000 KM,10 CV,,43 000 DT,,
389,Diesel,2022.0,23475 KM,5 CV,Boîte 5,43 100 DT,FIAT,FIORINO
390,Essence,2022.0,12000 KM,5 CV,Boîte 5,50 000 DT,HYUNDAI,I10
391,Essence,2018.0,77000 KM,5 CV,Boîte 5,46 800 DT,DACIA,SANDERO
392,Essence,2020.0,47000 KM,6 CV,Boîte 5,46 500 DT,,
393,Essence,2010.0,86000 KM,10 CV,Boîte 5,52 000 DT,OPEL,ANTARA
394,Essence,2021.0,55000 KM,5 CV,Boîte 5,50 000 DT,PEUGEOT,208
395,Essence,2018.0,75000 KM,7 CV,Automatique,50 000 DT,FORD,ECOSPORT
396,Essence,2021.0,30000 KM,5 CV,Boîte 5,52 000 DT,HYUNDAI,I10
397,Essence,2014.0,74000 KM,5 CV,Boîte 5,47 500 DT,,
398,Essence,2014.0,162000 KM,5 CV,Boîte 5,49 000 DT,GOLF,7
399,Essence,2015.0,181000 KM,5 CV,Boîte 6,53 000 DT,GOLF,7
400,Essence,2017.0,187000 KM,6v CV,Boîte 5,52 000 DT,,
401,Diesel,2019.0,295000 KM,7 CV,Boîte 5,52 000 DT,PEUGEOT,EXPERT
402,Essence,2006.0,230000 KM,18 CV,Automatique,49 900 DT,MERCEDES,
403,Essence,2020.0,105000 KM,7 CV,Boîte 5,50 000 DT,MG,ZS
404,Essence,2016.0,80000 KM,6 CV,Boîte 5,50 000 DT,,
405,Diesel,2010.0,150000 KM,8 CV,Boîte 6,50 000 DT,,
406,Essence,2023.0,70000 KM,6 CV,Automatique,47 000 DT,NISSAN,JUKE
407,Essence,2020.0,29000 KM,5 CV,Automatique,47 000 DT,SUZUKI,SWIFT
408,Essence,2021.0,25000 KM,5 CV,Boîte 5,51 400 DT,,
409,Diesel,2009.0,260000 KM,9 CV,Automatique,50 000 DT,VOLKSWAGEN,TIGUAN
410,Essence,2022.0,12000 KM,5 CV,Boîte 5,49 500 DT,HYUNDAI,I10
411,Essence,2019.0,69000 KM,6 CV,Boîte 5,50 000 DT,,
412,Essence,2016.0,230 KM,6 CV,Boîte 5,49 500 DT,SEAT,LEON
413,Essence,2019.0,54116 KM,5 CV,Boîte 5,50 500 DT,CITROEN,C4 CACTUS
414,Diesel,2009.0,299000 KM,10 CV,Automatique,50 000 DT,MERCEDES-BENZ,
415,Essence,2013.0,200000 KM,,Boîte 5,49 000 DT,VOLKSWAGEN,GOLF 6
416,Essence,2013.0,141000 KM,6 CV,Boîte 5,50 000 DT,AUDI,A3 SPORTBACK
417,Essence,2013.0,143000 KM,9 CV,Automatique,49 000 DT,BMW,X1
418,Essence,2020.0,51000 KM,6 CV,Boîte 5,52 000 DT,MG,5
419,Essence,2021.0,22000 KM,5v CV,,48 000 DT,SUZUKI,SWIFT
420,Diesel,2008.0,30100 KM,10 CV,Boîte 5,53 500 DT,,
421,Diesel,2009.0,235000 KM,8 CV,Automatique,54 000 DT,MERCEDES,C200
422,Essence,2013.0,201000 KM,7 CV,Boîte 5,56 000 DT,AUDI,A4
423,Essence,2018.0,70800 KM,5 CV,Automatique,56 000 DT,SUZUKI,BALENO
424,Essence,2018.0,210000 KM,1.2 CV,Boîte 6,55 000 DT,,
425,Essence,2017.0,93000 KM,7 CV,,58 000 DT,RENAULT,KADJAR
426,Essence,2019.0,90000 KM,7 CV,Boîte 5,59 000 DT,MG,ZS
427,Essence,2018.0,120 KM,6 CV,Boîte 5,62 000 DT,TOYOTA,
428,Essence,2014.0,158000 KM,5 CV,Boîte 5,55 000 DT,GOLF,7
429,Essence,2017.0,150000 KM,7 CV,Boîte 6,62 000 DT,HONDA,HR-V
430,Essence,2022.0,15900 KM,5 CV,Boîte 5,59 000 DT,,
431,Essence,2017.0,89000 KM,8 CV,Automatique,58 000 DT,,
432,Essence,2014.0,160000 KM,7 CV,Automatique,54 000 DT,AUDI,A4
433,Essence,2021.0,6200 KM,6 CV,Boîte 6,59 900 DT,DACIA,SANDERO
434,Essence,2016.0,120 KM,6 CV,Boîte 6,54 000 DT,NISSAN,
435,Essence,2013.0,170000 KM,7 CV,Automatique,59 000 DT,BMW,SERIE 3
436,Essence,2020.0,60000 KM,7 CV,Boîte 6,58 500 DT,SSANGYONG,TIVOLI
437,Essence,2016.0,136000 KM,5 CV,Boîte 6,60 000 DT,GOLF,7
438,Essence,2014.0,170000 KM,7 CV,Boîte 6,60 000 DT,,
439,Diesel,2019.0,128000 KM,6 CV,Boîte 6,53 500 DT,OPEL,ASTRA
440,Essence,2015.0,95000 KM,5 CV,Boîte 6,56 800 DT,GOLF,7
441,Essence,2018.0,130000 KM,6 CV,Boîte 5,59 000 DT,SEAT,LEON
442,Diesel,2013.0,200000 KM,7 CV,Boîte 6,55 000 DT,KIA,
443,Essence,2020.0,60000 KM,128 CV,Boîte 6,58 000 DT,SSANGYONG,TIVOLI
444,Essence,2022.0,19000 KM,7 CV,Automatique,60 000 DT,,
445,Essence,2021.0,37800 KM,6 CV,Automatique,54 000 DT,GEELY,GX3
446,Diesel,2012.0,225000 KM,8 CV,Boîte 6,60 000 DT,,
447,Essence,2019.0,117000 KM,7 CV,Automatique,61 000 DT,MG,ZS
448,Essence,2019.0,97000 KM,8 CV,Automatique,61 000 DT,SSANGYONG,TIVOLI
449,Essence,2013.0,143000 KM,9 CV,Automatique,53 000 DT,BMW,X1
450,Diesel,2016.0,91000 KM,7 CV,Boîte 6,68 000 DT,NISSAN,QASHQAI
451,Essence,2016.0,179000 KM,9 CV,Automatique,62 000 DT,MAZDA,5
452,Diesel,2009.0,213000 KM,10 CV,Automatique,69 000 DT,LAND ROVER,
453,Essence,2021.0,59100 KM,7 CV,Boîte 5,65 000 DT,MG,ZS
454,Diesel,2013.0,200000 KM,12 CV,Automatique,66 500 DT,KIA,SORENTO
455,Essence,2019.0,27000 KM,7 CV,Boîte 6,67 000 DT,,
456,Essence,2016.0,115000 KM,6 CV,Boîte 6,69 000 DT,AUDI,A3
457,Essence,2016.0,103000 KM,7 CV,Boîte 5,67 000 DT,,
458,Essence,2022.0,99500 KM,7 CV,Boîte 5,65 000 DT,MG,ZS
459,Essence,2018.0,79000 KM,6 CV,Boîte 5,62 500 DT,SEAT,ARONA
460,Essence,1977.0,86500 KM,8 CV,Boîte 6,72 000 DT,FORD,KUGA
461,Essence,2016.0,129000 KM,6 CV,Automatique,64 001 DT,NISSAN,QASHQAI
462,Essence,2017.0,105000 KM,9v CV,Automatique,73 000 DT,PEUGEOT,3008
463,Essence,2021.0,36 KM,5 CV,Boîte 5,62 000 DT,,
464,Essence,2022.0,12000 KM,5 CV,Boîte 5,67 500 DT,KIA,RIO
465,Essence,2020.0,55000 KM,7 CV,Boîte 5,65 000 DT,MG,ZS
466,Essence,2016.0,110.000 KM,8 CV,Automatique,73 000 DT,KIA,SPORTAGE
467,Essence,2012.0,145000 KM,7 CV,Boîte 6,66 500 DT,MERCEDES-BENZ,
468,Essence,2018.0,120000 KM,6 CV,Automatique,75 000 DT,TOYOTA,C-HR
469,Essence,2019.0,64000 KM,08 CV,Boîte 6,65 000 DT,CHEVROLET,TRAX
470,Essence,2015.0,180000 KM,7 CV,Automatique,68 000 DT,BMW,
471,Essence,2015.0,125000 KM,7 CV,Automatique,75 000 DT,BMW,
472,Essence,2021.0,59500 KM,7 CV,Boîte 6,65 000 DT,,
473,Essence,2013.0,170 KM,9 CV,Automatique,74 000 DT,,
474,Essence,2018.0,113000 KM,,Boîte 6,68 000 DT,MAZDA,3 HATCHBACK
475,Essence,2019.0,75000 KM,7 CV,Automatique,65 000 DT,MG,ZS
476,Essence,2020.0,68000 KM,6 CV,Boîte 6,75 000 DT,TOYOTA,COROLLA
477,Essence,2020.0,70000 KM,6 CV,Boîte 6,62 000 DT,,
478,Essence,2019.0,80000 KM,7 CV,Boîte 6,67 000 DT,MG,ZS
479,Essence,2016.0,127000 KM,9 CV,Automatique,65 000 DT,,
480,Essence,2017.0,200000 KM,7 CV,Automatique,80 000 DT,,
481,Essence,2022.0,27000 KM,7 CV,Boîte 6,100 000 DT,PEUGEOT,3008
482,Essence,2019.0,205000 KM,7 CV,Automatique,99 000 DT,VOLVO,V40
483,Diesel,2023.0,000 KM,9 CV,Automatique,100 000 DT,,
484,Essence,2018.0,69000 KM,6 CV,Boîte 6,76 000 DT,AUDI,A3
485,Essence,2018.0,58000 KM,9 CV,Automatique,85 000 DT,PEUGEOT,3008
486,Essence,2014.0,77000 KM,7 CV,Automatique,85 000 DT,MERCEDES,CLA
487,Diesel,2006.0,335000 KM,11 CV,Boîte 5,109 000 DT,TOYOTA,
488,Diesel,2016.0,168000 KM,10 CV,Automatique,95 000 DT,JAGUAR,XE
489,Essence,2021.0,16000 KM,10 CV,Automatique,80 000 DT,HYUNDAI,TUCSON
490,Diesel,2013.0,155000 KM,7 CV,Boîte 6,88 000 DT,,
491,Essence,2013.0,191000 KM,10 CV,Automatique,82 000 DT,BMW,
492,Essence,2018.0,100000 KM,8 CV,Automatique,88 994 DT,,
493,Essence,2019.0,102000 KM,7 CV,Automatique,99 000 DT,MERCEDES-BENZ,
494,Essence,2020.0,59500 KM,7 CV,Automatique,77 000 DT,MG,ZS
495,Essence,2021.0,57322 KM,7 CV,Automatique,102 000 DT,,
496,Essence,2020.0,57000 KM,9 CV,Automatique,85 000 DT,HAVAL,H6
497,Essence,2018.0,69000 KM,6 CV,Boîte 6,76 000 DT,AUDI,A3
498,Essence,,8000 KM,7 CV,Boîte 6,80 000 DT,,
499,Essence,2018.0,80000 KM,6 CV,Boîte 6,85 000 DT,,
500,Essence,2023.0,20 KM,8 CV,Automatique,95 000 DT,AUDI,Q2
501,Diesel,2021.0,37000 KM,9 CV,Boîte 6,77 000 DT,,
502,Diesel,2021.0,69000 KM,8 CV,Automatique,78 000 DT,SKODA,OCTAVIA
503,Diesel,2023.0,10000 KM,6 CV,Boîte 6,95 000 DT,PEUGEOT,LANDTREK
504,Essence,2021.0,57500 KM,7 CV,Automatique,99 000 DT,,
505,Diesel,2012.0,100000 KM,9 CV,Automatique,83 000 DT,BMW,SERIE 5
506,Diesel,2015.0,124600 KM,5 CV,Boîte 6,107 000 DT,MERCEDES,CLA
507,Essence,2019.0,120000 KM,7 CV,Automatique,100 000 DT,MERCEDES-BENZ,CLA
508,Diesel,2021.0,37000 KM,9 CV,Boîte 6,77 000 DT,PEUGEOT,LANDTREK
509,Essence,2021.0,23000 KM,4 CV,Boîte 5,89 900 DT,,
510,Diesel,1995.0,340 KM,11 CV,,12 000 000 DT,NISSAN,TERRANO 2
511,Essence,2015.0,160000 KM,15 CV,Automatique,123 000 DT,,
512,Essence,2018.0,100000 KM,8V CV,Boîte 6,110 000 DT,OPEL,MOKKA
513,Essence,2016.0,28000 KM,6 CV,Boîte 5,32 000 000 DT,CHERY,E3
514,Diesel,2018.0,350 KM,7 CV,Boîte 5,53 444 671 DT,,
515,Electrique,2021.0,37500 KM,250 CV,Automatique,200 000 DT,MERCEDES,CLA
516,Essence,2018.0,148000 KM,9 CV,Automatique,130 000 DT,MERCEDES,CLASSE E
517,Diesel,2007.0,270000 KM,10 CV,Boîte 6,500 000 DT,TOYOTA,HILUX
518,Essence,1979.0,80000 KM,25 CV,Boîte 5,140 000 DT,JEEP,WRANGLER
519,Diesel,2010.0,170.000 KM,12 CV,Automatique,123 456 DT,MERCEDES,E250
520,Diesel,2014.0,204000 KM,11 CV,Automatique,550 000 DT,,
521,Essence,2014.0,198000 KM,5v CV,Boîte 6,123 789 DT,MINI,MINI
522,Essence,2014.0,65000 KM,13 CV,Boîte 5,160 000 DT,TOYOTA,FORTUNER
523,Diesel,2017.0,127800 KM,10 CV,Automatique,115 000 DT,FORD,KUGA
524,Essence,2018.0,85 KM,6 CV,Boîte 5,32 000 000 DT,,
525,Essence,2021.0,43000 KM,10 CV,Automatique,130 000 DT,BMW,SERIE 2
526,Essence,2014.0,178 KM,4 CV,Boîte 5,2 200 000 DT,,
527,Diesel,2021.0,35000 KM,8 CV,Automatique,115 000 DT,,
528,Essence,2015.0,94000 KM,10 CV,Automatique,110 000 DT,MERCEDES,CLASSE E
529,Essence,2022.0,12300 KM,8 CV,Automatique,111 500 DT,GOLF,8
530,Diesel,2017.0,160000 KM,13 CV,Automatique,120 000 DT,,
531,Essence,2020.0,1 KM,1 CV,Automatique,100 000 000 000 DT,,
532,Essence,1979.0,80000 KM,25 CV,Boîte 5,140 000 DT,JEEP,WRANGLER
533,Essence,2002.0,164500 KM,5 CV,Boîte 5,14 000 000 DT,,
534,Essence,2010.0,270 KM,5h CV,Boîte 5,220 000 DT,,
